Event ID,Ticket Number,Incident ID,Charger,Serial / Main Asset,Outlet,Fault Codes,Suggested Failure Date,Failure Date Source,Ticket Created,First CableTempSensor Evidence Date,Template yyyy-mm-dd (Review Only),Suggested Label,Confidence Reason,Final Label,Manual Failure Date,Possible Duplicate <=30d,Duplicate Group,Another Event <=90d,Title,Description,Root Cause,Solution,Repair Completed,Repair Evidence Date,Repair Evidence,Fault Flags,Multi-Fault Ticket,Other DC Fault Codes,Match Locations,First CableTempSensor Evidence,Match Count,JSON File
0415633_DC2,0415633,a4d876ec-0cc8-4de9-9f29-afc51fc70aa0,ObibH9,MP / R1 170001229,DC2,DC2_CABLETEMPSENSOR_XD101,2025-03-28T09:54:10Z,ticket_created,2025-03-28T09:54:10Z,2025-03-28T09:54:10Z,,POSITIVE_HIGH,exact CableTempSensor fault code in title/description; failure/error language; diagnostic fault flags,,,,,,ID0415633-DC/Si-D/NO-[MP / R1 170001229] DC2_CableTempSensor_XD101,2025-03-28T09:04:21.805153+00:00 sicharge-cp [local0:info] sicharge-cp-backend/78b9b979cb08[737]: PLC-Error-Flag 'DC2_CableTempSensor_XD101' changed from false - ('temperature sensors okay KON:1') to true - ('VIV:0 PLE:1 KON:1'),,,No,,,KON:1; VIV:0; PLE:1,No,,additional_info[0].body; additional_info[1].subject; description; title,ID0415633-DC/Si-D/NO-[MP / R1 170001229] DC2_CableTempSensor_XD101 2025-03-28T09:04:21.805153+00:00 sicharge-cp [local0:info] sicharge-cp-backend/78b9b979cb08[737]: PLC-Error-Flag 'DC2_CableTempSensor_XD101' changed from false - ('temperature sensors okay KON:1') to true - ('VIV:0 PLE:1 KON:1'),4,a4d876ec-0cc8-4de9-9f29-afc51fc70aa0.json
0415580_DC1,0415580,94a09b19-5124-4cb1-99db-12f77ab45b69,zWXyBe,MP/S4170003525,DC1,DC1_CABLETEMPSENSOR_XD100,2025-03-28T07:47:49Z,ticket_created,2025-03-28T07:47:49Z,2025-03-28T07:47:49Z,,POSITIVE_HIGH,exact CableTempSensor fault code in title/description; failure/error language; diagnostic fault flags,,,,,,ID0415580-DC/Si-D/TR-[MP / S5 170003525] DC1_CableTempSensor_XD100,"DC1_CableTempSensor_XD100
VIV:0 RNE:1 KON:1
Outlet-1 is out of service",,,No,,,VIV:0; RNE:1; KON:1,No,,additional_info[0].body; additional_info[0].subject; additional_info[1].subject; additional_info[2].subject; additional_info[3].subject; additional_info[4].subject; additional_info[5].subject; additional_info[6].body; additional_info[7].body; description; title,ID0415580-DC/Si-D/TR-[MP / S5 170003525] DC1_CableTempSensor_XD100 DC1_CableTempSensor_XD100 VIV:0 RNE:1 KON:1 Outlet-1 is out of service,11,94a09b19-5124-4cb1-99db-12f77ab45b69.json
0415507_DC2,0415507,93291b57-1509-4f7f-ab61-88933a05d688,ugTWsO,"MP / R0 170002549,MP / R0 170002549",DC2,DC2_CABLETEMPSENSOR; DC2_CABLETEMPSENSOR_XD101,2025-03-27T15:51:38Z,ticket_created,2025-03-27T15:51:38Z,2025-03-27T15:51:38Z,,POSITIVE_HIGH,exact CableTempSensor fault code in title/description; failure/error language,,,Yes,DUP_0009,Yes,ID0415427-DC/Si-D/DE-[MP / R0 170002549] DC2_CableTempSensor (C1),"Reported behavior/issue:
The outlet DC2 on charger ugTWsO shows the error flag ""DC2_CableTempSensor_XD101"".
Please check from your side.
Open Ticket:
No
Root cause:
Solution:
Software Version: v6.0.3-0-g215cb74+APN (PRODUCTION)
OCPP Backend Connection: Yes
WO 4338",Solution: Software Version: v6.0.3-0-g215cb74+APN (PRODUCTION) OCPP Backend Connection: Yes WO 4338,Software Version: v6.0.3-0-g215cb74+APN (PRODUCTION) OCPP Backend Connection: Yes WO 4338,No,,,,No,,additional_info[0].body; additional_info[10].subject; additional_info[11].subject; additional_info[12].body; additional_info[12].subject; additional_info[2].body; additional_info[3].subject; additional_info[4].body; additional_info[4].subject; additional_info[5].subject; additional_info[6].subject; additional_info[8].body; additional_info[8].subject; additional_info[9].subject; description; title,"ID0415427-DC/Si-D/DE-[MP / R0 170002549] DC2_CableTempSensor (C1) Reported behavior/issue: The outlet DC2 on charger ugTWsO shows the error flag ""DC2_CableTempSensor_XD101"". Please check from your side. Open Ticket: No Root cause: Solution: Software Version: v6.0.3-0-g215cb74+APN (PRODUCTION) OCPP Backend Connection: Yes WO 4338",16,93291b57-1509-4f7f-ab61-88933a05d688.json
0415505_DC2,0415505,ca500946-230b-f011-a81b-002248a12796,Yekgnr,Y2/S9 313897079/001,DC2,DC2_CABLETEMPSENSOR_XD101,2025-03-27T15:50:58Z,ticket_created,2025-03-27T15:50:58Z,2025-03-27T15:50:58Z,,POSITIVE_MEDIUM,exact CableTempSensor fault code in title/description; diagnostic fault flags; sensor/troubleshooting evidence; other DC faults also present,,,,,,ID0415505-DC/Si-D/HU-[Y2/S9 313897079/001]Cooling Unit & Cable temperature Issue,"Reported behaviour/issue: Cooling Unit & temperature Issue
Root cause:
Solution:
Dear Support Team,
We have a problem with a charger:
'DC2_CoolingUnit_EP1_Fan/Pump'
'DC2_CableTempSensor_XD101'
Serial number: Y2/S9 313897079/001
ID: Yekgnr
I have attached the logs.
Thanks in advance!
Best regards,
Laszlo
Software Version: NA
OCPP Backend Connection: Yes","Solution: Dear Support Team, We have a problem with a charger: 'DC2_CoolingUnit_EP1_Fan/Pump' 'DC2_CableTempSensor_XD101' Serial number: Y2/S9 313897079/001 ID: Yekgnr I have attached the logs. Thanks in advance! Best regards, Laszlo Software Version: NA OCPP Backend Connection: Yes","Dear Support Team, We have a problem with a charger: 'DC2_CoolingUnit_EP1_Fan/Pump' 'DC2_CableTempSensor_XD101' Serial number: Y2/S9 313897079/001 ID: Yekgnr I have attached the logs. Thanks in advance! Best regards, Laszlo Software Version: NA OCPP Backend Connection: Yes",No,,,VIV:0; KON:1; RNE:0; PLE:0; SOV:0; RNE:1; PLE:1; SOV:1,Yes,DC2_COOLINGUNIT_EP1_FAN/PUMP,additional_info[3].body; additional_info[5].body; description,"ID0415505-DC/Si-D/HU-[Y2/S9 313897079/001]Cooling Unit & Cable temperature Issue Reported behaviour/issue: Cooling Unit & temperature Issue Root cause: Solution: Dear Support Team, We have a problem with a charger: 'DC2_CoolingUnit_EP1_Fan/Pump' 'DC2_CableTempSensor_XD101' Serial number: Y2/S9 313897079/001 ID: Yekgnr I have attached the logs. Thanks in advance! Best regards, Laszlo Software Version: NA OCPP Backend Connection: Yes",3,ca500946-230b-f011-a81b-002248a12796.json
0415106_DC1,0415106,55f3f516-9896-4210-a8bd-d7b1454c8305,Xdc81P,MP / S3 170003355,DC1,DC1_CABLETEMPSENSOR_XD100,2025-03-26T08:38:37Z,ticket_created,2025-03-26T08:38:37Z,2025-03-26T08:38:37Z,,POSITIVE_HIGH,exact CableTempSensor fault code in title/description; sensor/troubleshooting evidence,,,,,,ID0415106-DC/Si-D/DK-[MP / S3 170003355] DC1_CableTempSensor_XD100 Issue,"Reported behavior/issue:
DC1_CableTempSensor_XD100 Issue
Root cause: DC1_CableTempSensor_XD100 Issue
Solution:
Cable replaced",DC1_CableTempSensor_XD100 Issue,Cable replaced,No,,,,No,,additional_info[0].body; additional_info[2].body; additional_info[2].subject; additional_info[5].subject; additional_info[6].subject; additional_info[8].subject; additional_info[9].subject; description; title,ID0415106-DC/Si-D/DK-[MP / S3 170003355] DC1_CableTempSensor_XD100 Issue Reported behavior/issue: DC1_CableTempSensor_XD100 Issue Root cause: DC1_CableTempSensor_XD100 Issue Solution: Cable replaced,9,55f3f516-9896-4210-a8bd-d7b1454c8305.json
0414755_DC1,0414755,f8963e24-d5c9-47e5-abd4-cf96cf079056,q4aeD3,"MP / R0 170002781,MP / R0 170002781",DC1,DC1_CABLETEMPSENSOR_XD100,2025-03-25T04:06:17Z,additional_info,2025-03-25T03:49:53Z,2025-03-25T04:06:17Z,,REVIEW,failure/error language,,,,,,ID0414527-DC/Si-D/DE-[MP / R0 170002781] charging cable defective (C1),"Reported behaviour/issue:
1 charging cable defective - ISO measurement failed",,,No,,,,No,,additional_info[1].body,"Handover note from NOC to L3. Problem Description: Cable defective Action Performed: Log analysis Charger SW Version: v6.0.3-0-g215cb74 Reason for Handover: As stated in the product issue sheet, this ticket is being forwarded to HQ Fault history: Charger was Out of Order due to DC1_CableTempSensor_XD100",1,f8963e24-d5c9-47e5-abd4-cf96cf079056.json
0414502_DC1,0414502,983f4c71-4e1d-49a1-b231-a980046d19aa,qntu3k,MP/SN170004220,DC1,DC1_CABLETEMPSENSOR_XD100,2025-03-24T07:53:29Z,ticket_created,2025-03-24T07:53:29Z,2025-03-24T07:53:29Z,,POSITIVE_HIGH,exact CableTempSensor fault code in title/description; failure/error language; sensor/troubleshooting evidence; completed repair/resolution evidence,,,,,Yes,ID0414502-DC/Si-D/DK[qntu3k] - DC1_CableTempSensor_XD100,"Reported behaviour/issue:
DC1_CableTempSensor_XD100
Root cause:
Readings = 0ºC º> faulty temperature sensor
Solution: Replace CCS cable",Readings = 0ºC º> faulty temperature sensor,Replace CCS cable,Yes,2025-03-28T10:09:07Z,"RE: ID0414502-DC/Si-D/DK[qntu3k] - DC1_CableTempSensor_XD100 CRM:00315002467 Went to the site and did the measurements. PT1000 sensors showed zero/unlimited ohm. No connection through the resistor. I replaced the cable and the charger is fully working again. With best regards, Rasmus Eksten Siemens A/S Denmark Smart Infrastructure eMobility - Denmark RC-DK SI E Borupvang 9 2750 Ballerup, Denmark mailto:rasmus.eksten@siemens.com www.linkedin.com/company/siemens www.siemens.com Siemens A/S. Headquarters: Borupvang 9, 2750 Ballerup, Denmark. Tel: +45 4477 4477 CVR-no. 16 99 30 85 Important notice: This e-mail and any attachment thereof contain corporate proprieta",,No,,additional_info[0].subject; additional_info[1].subject; additional_info[3].subject; additional_info[4].body; description; title,ID0414502-DC/Si-D/DK[qntu3k] - DC1_CableTempSensor_XD100 Reported behaviour/issue: DC1_CableTempSensor_XD100 Root cause: Readings = 0ºC º> faulty temperature sensor Solution: Replace CCS cable,6,983f4c71-4e1d-49a1-b231-a980046d19aa.json
0411636_DC2,0411636,8952d906-a1fd-ef11-bae3-6045bddf319c,Q2MW2c,Y2 / PN 312571675/19,DC2,DC2_CABLETEMPSENSOR_XD101,2025-03-11T15:41:40Z,additional_info,2025-03-10T11:15:55Z,2025-03-11T15:41:40Z,,REVIEW,diagnostic fault flags; sensor/troubleshooting evidence,,,,,,ID0411636-DC/Si-D/FR-[Q2MW2c] Transcations failing,"Reported behavior/issue:
Multiple transactions failing.
Root cause:
Solution:
On DAMEX Sanctioned List:
Warranty Status: Yes",Solution:,On DAMEX Sanctioned List:,No,,,KON:1; VIV:0; PLE:1,No,,additional_info[2].body; additional_info[3].body,Temperature sensor issue seen twice 2025-03-07T15:00:48.908042+00:00 sicharge-cp [local0:info] sicharge-cp-backend/3017a3da22f4[734]: PLC-Error-Flag 'DC2_CableTempSensor_XD101' changed from false - ('temperature sensors okay KON:1') to true - ('VIV:0 PLE:1 KON:1'),2,8952d906-a1fd-ef11-bae3-6045bddf319c.json
0411910_DC2,0411910,98aef1ff-5dfe-ef11-bae3-7c1e52faf3c6,ZFNwm9,MP / P9 170000903,DC2,DC2_CABLETEMPSENSOR_XD101,2025-03-11T09:48:43Z,ticket_created,2025-03-11T09:48:43Z,2025-03-11T09:48:43Z,,POSITIVE_HIGH,exact CableTempSensor fault code in title/description; completed repair/resolution evidence,,,,,,ID0411910-DC/Si-D/IL[170000903] - DC2_CableTempSensor_XD101,"Reported behaviour/issue:
DC2_CableTempSensor_XD101
Solution:
Loose wiring-> Issue has fixed",,Loose wiring-> Issue has fixed,Yes,,Reported behaviour/issue: DC2_CableTempSensor_XD101 Solution: Loose wiring-> Issue has fixed,,No,,additional_info[1].body; additional_info[1].subject; additional_info[2].subject; description; title,ID0411910-DC/Si-D/IL[170000903] - DC2_CableTempSensor_XD101 Reported behaviour/issue: DC2_CableTempSensor_XD101 Solution: Loose wiring-> Issue has fixed,5,98aef1ff-5dfe-ef11-bae3-7c1e52faf3c6.json
0410798_DC1,0410798,14f821c5-c3f9-ef11-bae2-7c1e5236e32d,m2MbzE,MP / R3 170001481,DC1,DC1_CABLETEMPSENSOR_XD100,2025-03-11T06:32:04Z,additional_info,2025-03-05T13:14:39Z,2025-03-11T06:32:04Z,,REVIEW,failure/error language; diagnostic fault flags,,,,,,ID0410798-DC/Si-D/DE-[MP / R3 170001481] Charging session interrupted,"Reported behavior/issue:
Charging power at the left charging point is always interrupted after a certain time and charging is not continued. Colleague charged from 11-15% and then charging was interrupted
Root cause:
session was stopped due to Cable
temperature sensor error
Solution:
Query answered, No response from customer.
On DAMEX Sanctioned List: no
Warranty Status: Active",session was stopped due to Cable temperature sensor error,"Query answered, No response from customer.",No,,,KON:1; VIV:0; PLE:1,No,,additional_info[6].body,"Analysis 2025-03-04, 16:36:15 2025-03-04T16:36:15.666678+00:00 sicharge-cp [local0:info] sicharge-cp-backend/2d5ffb3668b4[730]: PLC-Error-Flag 'DC1_CableTempSensor_XD100' changed from false - ('temperature sensors okay KON:1') to true - (' VIV:0 PLE:1 KON:1') VIV:0 → in case of an invalid sensor reading PLE:1→ in case of an plausibility error (temperature difference between +/- 25 deg C too high) KON:1: → in case the contact temperature sensors are not okay Charger cable temperature difference: 2025-03-04, 16:36:20 2025-03-04T16:36:20.191470+00:00 swcpu [user:debug] [4021] [CTD] |Outlet=DC1|CableName=EV-T2M4CC-DC| EventType=Error|Tdiff(degC)=15.7|",1,14f821c5-c3f9-ef11-bae2-7c1e5236e32d.json
0410696_DC2,0410696,007ec0d0-2d2f-4a29-b27b-74924a7b0f3c,hKzfTF,,DC2,DC2_CABLETEMPSENSOR_XD101,2025-03-05T09:27:26Z,ticket_created,2025-03-05T09:27:26Z,2025-03-05T09:27:26Z,,POSITIVE_MEDIUM,failure/error language; sensor/troubleshooting evidence,,,Yes,DUP_0001,Yes,ID0410469-DC/Si-D/EE-[hKzfTF] DC2 CableTempSensor error 51 times last 4 week (C1),"Reported behavior/issue:
Last 4 weeks there has been 164 charging session on DC2 cable and 51 times CableTempSensor failures and 31 times where the difference has been > 15 degree celsius.
Root cause:
Bad or damaged CCS2 cable. NOTE: CMS is in use.
Solution:
Open Ticket: No
Warranty Status: Active
Please DO NOT ADD MAIN ASSET BEFORE FINAL JUDGEMENT",Bad or damaged CCS2 cable. NOTE: CMS is in use.,Open Ticket: No,No,,,,No,,additional_info[3].body; additional_info[4].subject; additional_info[5].body; additional_info[8].subject; description; title,ID0410469-DC/Si-D/EE-[hKzfTF] DC2 CableTempSensor error 51 times last 4 week (C1) Reported behavior/issue: Last 4 weeks there has been 164 charging session on DC2 cable and 51 times CableTempSensor failures and 31 times where the difference has been > 15 degree celsius. Root cause: Bad or damaged CCS2 cable. NOTE: CMS is in use. Solution: Open Ticket: No Warranty Status: Active Please DO NOT ADD MAIN ASSET BEFORE FINAL JUDGEMENT,6,007ec0d0-2d2f-4a29-b27b-74924a7b0f3c.json
0409644_DC2,0409644,2c142c10-bbf7-4126-9ee3-18e7599a98b6,WeccII,"MP / S1 170003197,MP / S1 170003197",DC2,DC2_CABLETEMPSENSOR_XD101,2025-03-04T10:16:56Z,additional_info,2025-02-27T09:27:09Z,2025-03-04T10:16:56Z,,REVIEW,failure/error language; diagnostic fault flags,,,Yes,DUP_0005,Yes,ID0409175-DC/Si-D/SA-[MP / S1 170003197] Cable Temperature Error (C1),"Reported behavior/issue:
Cable Temperature Sensor it activated (
VIV:0 RNE:1 KON:1
)
Open Ticket:
No
Root cause:  Cable fault
Solution:  Cable replacement with new one
On DAMEX Sanctioned List:
Siemens Employee
Warranty Status
: Yes",Cable fault,Cable replacement with new one,No,,,VIV:0; RNE:1; KON:1,No,,additional_info[5].body; additional_info[7].body,Note to QM Particular Remarks Defective part name/MLFB 8EM5903-0AA02-6AA2 Component serial number 0010029541 Logs with marked error (CSV format preferred) SCB Logs: <<WeccII-logs (3).csv>> Active error flags before replacement PLC-Error-Flag 'DC2_CableTempSensor_XD101' changed from true - ('VIV:0 RNE:1 KON:1') Device-specific error code (if applicable) ('VIV:0 RNE:1 KON:1') Outcome of wiring checkup Wiring All Okay Commissioning checklist OK Commissioning date NA Field service report RC will Update Date of failure (see side note) 26/02/2025 Complementary information CP-to-ground Voltage reading (standby) - 12V Signs of corrosion (external) - No sign of corrosion on the contactor mating surface or external damage Note : Observed cable temperature varies,2,2c142c10-bbf7-4126-9ee3-18e7599a98b6.json
0410469_DC2,0410469,b9b1a4a5-8def-46cc-903a-9dec878ab1be,hKzfTF,MP / R2 170001450,DC2,DC2_CABLETEMPSENSOR_XD101,2025-03-04T10:16:32Z,ticket_created,2025-03-04T10:16:32Z,2025-03-04T10:16:32Z,,POSITIVE_MEDIUM,failure/error language,,,Yes,DUP_0001,Yes,ID0410469-DC/Si-D/EE-[hKzfTF] DC2 CableTempSensor error 51 times last 4 week,"Reported behavior/issue:
Last 4 weeks there has been 164 charging session on DC2 cable and 51 times CableTempSensor failures and 31 times where the difference has been > 15 degree celsius.
Root cause:
Bad or damaged CCS2 cable. NOTE: CMS is in use.
Solution:
Work done 3.4.2025 by Caverion Estonia
Open Ticket: No
Warranty Status: Active",Bad or damaged CCS2 cable. NOTE: CMS is in use.,Work done 3.4.2025 by Caverion Estonia Open Ticket: No,No,,,,No,,additional_info[13].subject; additional_info[14].subject; additional_info[3].body; additional_info[3].subject; additional_info[5].body; additional_info[6].body; additional_info[6].subject; additional_info[8].subject; additional_info[9].subject; description; title,ID0410469-DC/Si-D/EE-[hKzfTF] DC2 CableTempSensor error 51 times last 4 week Reported behavior/issue: Last 4 weeks there has been 164 charging session on DC2 cable and 51 times CableTempSensor failures and 31 times where the difference has been > 15 degree celsius. Root cause: Bad or damaged CCS2 cable. NOTE: CMS is in use. Solution: Work done 3.4.2025 by Caverion Estonia Open Ticket: No Warranty Status: Active,11,b9b1a4a5-8def-46cc-903a-9dec878ab1be.json
0410323_DC2,0410323,f1fa14e2-ad39-48d2-ae7a-dd9748cd1d7b,HfJX29,"Y2 / P0 312567479/10,Y2 / P0 312567479/10",DC2,DC2_CABLETEMPSENSOR_XD101,2025-03-03T17:03:48Z,additional_info,2025-03-03T16:59:47Z,2025-03-03T17:03:48Z,,REVIEW,diagnostic fault flags,,,,,,ID0410290-DC/Si-D/FR-[Y2 / P0 312567479/10] Tesla model X charging interrupted (C1),"Reported behavior/issue:
Tesla model X had his charge interrupted 3 times
Open Ticket:
No
Root cause:
Solution:
On DAMEX Sanctioned List:
No
Warranty Status:
Inactive (4/18/2024) Engie Charger",Solution:,On DAMEX Sanctioned List: No,No,,,KON:1; VIV:0; PLE:1,No,,additional_info[1].body; additional_info[2].body,"1st session: from 17:09 to 17:12 Session interrupted due to DC2_CableTempSensor_XD101 Sat, 01 Mar 2025 16:12:51 GMT 2025-03-01, 16:12:50 2025-03-01T16:12:50.661802+00:00 sicharge-cp [local0:info] sicharge-cp-backend/01c25c3ffe10[738]: PLC-Error-Flag 'DC2_CableTempSensor_XD101' changed from false - ('temperature sensors okay') to false - ('temperature sensors okay KON:1') Sat, 01 Mar 2025 16:12:53 GMT 2025-03-01, 16:12:53 2025-03-01T16:12:53.000000+00:00 secc [daemon:notice] SECC[818]: {""type"":""stop_charging"",""timestamp"":1740845573978,""chargerId"":""secc2300-03071"",""outlet"":""",2,f1fa14e2-ad39-48d2-ae7a-dd9748cd1d7b.json
0410190_DC2,0410190,0309c29b-824f-4ee2-a0eb-0f546a5dd3dc,JHrezS,"MP / R5 170001908,MP / R5 170001908",DC2,DC2_CABLETEMPSENSOR_XD101,2025-03-03T10:15:12Z,additional_info,2025-03-03T10:12:56Z,2025-03-03T10:15:12Z,,REVIEW,diagnostic fault flags,,,Yes,DUP_0002,Yes,ID0404379-DC/Si-D/AE-[MP / R5 170001908] Charging Session interrupted [C1],"Reported behaviour/issue: Multiple Charging Session getting interrupted after 2 minutes, OCCP reporting that the stop command is from the EVC.
Root cause:
Solution:
On DAMEX Sanctioned List: no
Warranty Status:06/21/2025
Existing case-0402308
Tesla model-3-→ 05:00hrs utc",Solution:,On DAMEX Sanctioned List: no,No,,,KON:1; VIV:0; PLE:1,No,,additional_info[1].body,"e logs in given timestamp-19/02, 04:09hrs (UTC)-->DC2 Charging Cable Sensor Validation Error---> Charging session interruption due to plausibility check on the temperature sensors inside the plug. This could be related to poor contact between the plug and car socket, which can cause one DC pin to reach a higher temperature than the other, especially during high-current sessions. 2025-02-19T04:11:18.397653+00:00 sicharge-cp [local0:info] sicharge-cp-backend/347f0452b778[737]: PLC-Error-Flag 'DC2_CableTempSensor_XD101' changed from false - ('temperature sensors okay') to false - ('temperature sensors okay KON:1') 2025-02-19T04:11:21.000000+00:00 secc [daemon:notice] SECC[847]: {""type"":""stop_charging"",""timestamp"":1739938281340,""chargerId"":""secc2300-07429"",""outlet"":""2"",""outletType"":""CCS"",""payload"":{""source"":""EV"",""user"":""internal""}} 2025-02-19T04:11:21.373132+00:00 swcpu [user:debug] [4021] [CSV] DC2: Charging Cable Sensor Plausibility Contact Temperatures: 48.8, 33.2 deg C 2025-02-19T04:11:21.400089+00:0",1,0309c29b-824f-4ee2-a0eb-0f546a5dd3dc.json
0409175_DC2,0409175,fd885354-7ef3-ef11-be1f-7c1e5236ec45,WeccII,MP / S1 170003197,DC2,DC2_CABLETEMPSENSOR_XD101,2025-02-25T14:15:11Z,additional_info,2025-02-25T13:42:18Z,2025-02-25T14:15:11Z,,REVIEW,failure/error language; diagnostic fault flags,,,Yes,DUP_0005,Yes,ID0409175-DC/Si-D/SA-[MP / S1 170003197] Cable Temperature Error,"Reported behavior/issue:
Cable Temperature Sensor it activated (
VIV:0 RNE:1 KON:1
)
Open Ticket:
No
Root cause:
Solution:
On DAMEX Sanctioned List:
Siemens Employee
Warranty Status
: Yes
Child case:
0409644",Solution:,On DAMEX Sanctioned List: Siemens Employee,No,,,VIV:0; RNE:1; KON:1,No,,additional_info[1].body,Active Error Flag DC2_CableTempSensor_XD101 PLC DEVICE true VIV:0 RNE:1 KON:1 false,1,fd885354-7ef3-ef11-be1f-7c1e5236ec45.json
0406643_DC2,0406643,a54da76d-16ea-ef11-9341-000d3a64bf7e,GMhtnQ,MP / R5 170001890,DC2,DC2_CABLETEMPSENSOR_XD101,2025-02-20T08:33:02Z,additional_info,2025-02-13T14:25:59Z,2025-02-20T08:33:02Z,,REVIEW,completed repair/resolution evidence,,,Yes,DUP_0012,Yes,ID0406643-DC/Si-D/DE-[MP / R5 170001890]LP02 not available(Outlet2),"Reported behaviour/issue: LP02 not available(Outlet2)
Root cause:
Solution:
On DAMEX Sanctioned List: no
Warranty Status: Active",Solution:,On DAMEX Sanctioned List: no,Yes,2025-02-20T08:33:02Z,"DC Queue (Level 2) to the eMobility RC-DE SI E Queue (Level 2) , due to one or more following reason (s): Reason Applicable Onsite Repair (Component Exchange) Onsite Troubleshooting x End Customer Communication Spare Part Ordering Performance monitoring by RC Note : In Last 2 Weeks the error"" DC2_CableTempSensor_XD101"" has appeared 7 time, Need to check the cable. Also as per previous ticket “0402339” which was created for same charger for same issue: Hello Mr Semiraut, I have just exchanged information with my colleague again and we assume that the error has actually been fixed now. In the course of this, I will have the ticket closed. In the unlikely event that the error occurs again, I would ask you to provide brief feedback and we will investigate the matter again. Best regards Sascha Theil. Kindly pick up the case using "" Pick "" option in the queue or manually using the "" Assign "" function from the eMobility RC-DE SI E Queue (Level 2) and work on it & document the activity (Logs/Field Service Report) and attach it",,No,,additional_info[6].body,"RE: ID0406643-DC/Si-D/DE-[MP / R5 170001890]LP02 not available(Outlet2) CRM:01251001248 Dear Team, I am writing to formally inform that we are moving case 0406643 ﻿from the eMobility DC Queue (Level 2) to the eMobility RC-DE SI E Queue (Level 2) , due to one or more following reason (s): Reason Applicable Onsite Repair (Component Exchange) Onsite Troubleshooting x End Customer Communication Spare Part Ordering Performance monitoring by RC Note : In Last 2 Weeks the error"" DC2_CableTempSensor_XD101"" has appeared 7 time, Need to check the cable. Also as per previous ticket “0402339” which was created for same charger for same issue: Hello Mr Semiraut, I have just exchanged information with my colleague again and we assume that the error has actually been fixed now. In the course of this, I will have the ticket closed. In the unlikely event that the error occurs again, I would ask you to provide brief feedback and we will investigate the matter again. Best regards Sascha Theil. Kindly",1,a54da76d-16ea-ef11-9341-000d3a64bf7e.json
0404379_DC2,0404379,456d7fb4-98e3-ef11-8eea-7c1e52378e9b,JHrezS,MP / R5 170001908,DC2,DC2_CABLETEMPSENSOR_XD101,2025-02-19T15:54:14Z,additional_info,2025-02-05T08:10:55Z,2025-02-19T15:54:14Z,,REVIEW,diagnostic fault flags,,,Yes,DUP_0002,Yes,ID0404379-DC/Si-D/AE-[MP / R5 170001908] Charging Session interrupted,"Reported behaviour/issue: Multiple Charging Session getting interrupted after 2 minutes, OCCP reporting that the stop command is from the EVC.
Root cause:
Solution:
On DAMEX Sanctioned List: no
Warranty Status:06/21/2025
Existing case-0402308
Tesla model-3-→ 05:00hrs utc",Solution:,On DAMEX Sanctioned List: no,No,,,KON:1; VIV:0; PLE:1,No,,additional_info[18].body,"e logs in given timestamp-19/02, 04:09hrs (UTC)-->DC2 Charging Cable Sensor Validation Error---> Charging session interruption due to plausibility check on the temperature sensors inside the plug. This could be related to poor contact between the plug and car socket, which can cause one DC pin to reach a higher temperature than the other, especially during high-current sessions. 2025-02-19T04:11:18.397653+00:00 sicharge-cp [local0:info] sicharge-cp-backend/347f0452b778[737]: PLC-Error-Flag 'DC2_CableTempSensor_XD101' changed from false - ('temperature sensors okay') to false - ('temperature sensors okay KON:1') 2025-02-19T04:11:21.000000+00:00 secc [daemon:notice] SECC[847]: {""type"":""stop_charging"",""timestamp"":1739938281340,""chargerId"":""secc2300-07429"",""outlet"":""2"",""outletType"":""CCS"",""payload"":{""source"":""EV"",""user"":""internal""}} 2025-02-19T04:11:21.373132+00:00 swcpu [user:debug] [4021] [CSV] DC2: Charging Cable Sensor Plausibility Contact Temperatures: 48.8, 33.2 deg C 2025-02-19T04:11:21.400089+00:0",1,456d7fb4-98e3-ef11-8eea-7c1e52378e9b.json
